# %ECSV 0.9
# ---
# datatype:
# - {name: filenames, datatype: string}
# - {name: filter/grism, datatype: object}
# - {name: nvisit, datatype: int64}
# - {name: norbit, datatype: int64}
# - {name: times, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: scan, datatype: int64}
# schema: astropy-2.0
filenames filter/grism nvisit norbit times t_orbit t_visit scan
ie3206hbq_ima.fits G141 1 1 58946.10860447 3.1669344019610435 91.63359359605238 1
ie3206hdq_ima.fits G141 1 1 58946.10990077 5.033606408396736 93.50026560248807 0
ie3206hfq_ima.fits G141 1 1 58946.11119707 6.900278404355049 95.36693759844638 1
ie3206hgq_ima.fits G141 1 1 58946.11249336 8.766936004394665 97.233595198486 0
ie3206hiq_ima.fits G141 1 1 58946.11378966 10.633608000352979 99.10026719444431 1
ie3206hkq_ima.fits G141 1 1 58946.11508595 12.500265600392595 100.96692479448393 0
ie3206hmq_ima.fits G141 1 1 58946.11638225 14.366937606828287 102.83359680091962 1
ie3206hnq_ima.fits G141 1 1 58946.11767855 16.2336096027866 104.70026879687794 0
ie3206hpq_ima.fits G141 1 1 58946.11897484 18.100267202826217 106.56692639691755 1
ie3206hrq_ima.fits G141 1 1 58946.12027114 19.96693919878453 108.43359839287587 0
ie3206htq_ima.fits G141 1 1 58946.12156744 21.833611205220222 110.30027039931156 1
ie3206huq_ima.fits G141 1 1 58946.12286373 23.70026880525984 112.16692799935117 0
ie3206hwq_ima.fits G141 1 1 58946.12416003 25.566940801218152 114.03359999530949 1
ie3206hyq_ima.fits G141 1 1 58946.12545632 27.43359840125777 115.9002575953491 0
ie3206i0q_ima.fits G141 1 1 58946.12675262 29.30027040769346 117.7669296017848 1
ie3206i1q_ima.fits G141 1 1 58946.12804892 31.166942403651774 119.63360159774311 0
ie3206i3q_ima.fits G141 1 1 58946.12934521 33.03360000369139 121.50025919778273 1
ie3206i5q_ima.fits G141 1 1 58946.13064151 34.9002719996497 123.36693119374104 0
ie3206i7q_ima.fits G141 1 1 58946.13193781 36.766944006085396 125.23360320017673 1
ie3206i8q_ima.fits G141 1 1 58946.1332341 38.63360160612501 127.10026080021635 0
ie3206iaq_ima.fits G141 1 1 58946.1345304 40.500273602083325 128.96693279617466 1
ie3206icq_ima.fits G141 1 1 58946.1358267 42.36694560851902 130.83360480261035 0
ie3206ieq_ima.fits G141 1 1 58946.13712299 44.233603208558634 132.70026240264997 1
ie3206ifq_ima.fits G141 1 1 58946.13841929 46.10027520451695 134.56693439860828 0
ie3206ihq_ima.fits G141 1 1 58946.13971558 47.96693280455656 136.4335919986479 1
ie3206ijq_ima.fits F130N 1 2 58946.17250484 0.0 183.65012639318593 -1
ie3206ikq_ima.fits G141 1 2 58946.17340744 1.2997440062463284 184.94987039943226 0
ie3206imq_ima.fits G141 1 2 58946.17470373 3.1664016062859446 186.81652799947187 1
ie3206ioq_ima.fits G141 1 2 58946.17600003 5.033073602244258 188.6831999954302 0
ie3206iqq_ima.fits G141 1 2 58946.17729632 6.899731202283874 190.5498575954698 1
ie3206irq_ima.fits G141 1 2 58946.17859262 8.766403208719566 192.4165296019055 0
ie3206itq_ima.fits G141 1 2 58946.17988892 10.63307520467788 194.2832015978638 1
ie3206ivq_ima.fits G141 1 2 58946.18118521 12.499732804717496 196.14985919790342 0
ie3206ixq_ima.fits G141 1 2 58946.18248151 14.36640480067581 198.01653119386174 1
ie3206iyq_ima.fits G141 1 2 58946.18377781 16.2330768071115 199.88320320029743 0
ie3206j0q_ima.fits G141 1 2 58946.1850741 18.099734407151118 201.74986080033705 1
ie3206j2q_ima.fits G141 1 2 58946.1863704 19.96640640310943 203.61653279629536 0
ie3206j4q_ima.fits G141 1 2 58946.1876667 21.833078409545124 205.48320480273105 1
ie3206j5q_ima.fits G141 1 2 58946.18896299 23.69973600958474 207.34986240277067 0
ie3206j7q_ima.fits G141 1 2 58946.19025929 25.566408005543053 209.21653439872898 1
ie3206j9q_ima.fits G141 1 2 58946.19155558 27.43306560558267 211.0831919987686 0
ie3206jbq_ima.fits G141 1 2 58946.19285188 29.299737601540983 212.9498639947269 1
ie3206jcq_ima.fits G141 1 2 58946.19414818 31.166409607976675 214.8165360011626 0
ie3206jeq_ima.fits G141 1 2 58946.19544447 33.03306720801629 216.68319360120222 1
ie3206jgq_ima.fits G141 1 2 58946.19674077 34.899739203974605 218.54986559716053 0
ie3206jiq_ima.fits G141 1 2 58946.19803707 36.76641119993292 220.41653759311885 1
ie3206jjq_ima.fits G141 1 2 58946.19933336 38.633068799972534 222.28319519315846 0
ie3206jlq_ima.fits G141 1 2 58946.20062966 40.49974080640823 224.14986719959415 1
ie3206jnq_ima.fits G141 1 2 58946.20192595 42.36639840644784 226.01652479963377 0
ie3206jpq_ima.fits G141 1 2 58946.20322225 44.233070402406156 227.88319679559208 1
ie3206jqq_ima.fits G141 1 2 58946.20451855 46.09974240884185 229.74986880202778 0
ie3206jsq_ima.fits G141 1 2 58946.20581484 47.966400008881465 231.6165264020674 1
ie3206juq_ima.fits F130N 1 3 58946.23859262 0.0 278.81652959855273 -1
ie3206jvq_ima.fits G141 1 3 58946.23949558 1.3002623955253512 280.1167919940781 0
ie3206jxq_ima.fits G141 1 3 58946.24079188 3.1669344019610435 281.9834640005138 1
ie3206jyq_ima.fits G141 1 3 58946.24208818 5.033606397919357 283.8501359964721 0
ie3206jzq_ima.fits G141 1 3 58946.24338447 6.900263997958973 285.7167935965117 1
ie3206k0q_ima.fits G141 1 3 58946.24468077 8.766936004394665 287.5834656029474 0
ie3206k1q_ima.fits G141 1 3 58946.24597707 10.633608000352979 289.4501375989057 1
ie3206k2q_ima.fits G141 1 3 58946.24727336 12.500265600392595 291.31679519894533 0
ie3206k3q_ima.fits G141 1 3 58946.24856966 14.366937596350908 293.18346719490364 1
ie3206k4q_ima.fits G141 1 3 58946.24986595 16.233595196390525 295.05012479494326 0
ie3206k5q_ima.fits G141 1 3 58946.25116225 18.100267202826217 296.91679680137895 1
ie3206k6q_ima.fits G141 1 3 58946.25245855 19.96693919878453 298.78346879733726 0
ie3206k7q_ima.fits G141 1 3 58946.25375484 21.833596798824146 300.6501263973769 1
ie3206k8q_ima.fits G141 1 3 58946.25505114 23.70026879478246 302.5167983933352 0
ie3206k9q_ima.fits G141 1 3 58946.25634744 25.566940801218152 304.3834703997709 1
ie3206kaq_ima.fits G141 1 3 58946.25764373 27.43359840125777 306.2501279998105 0
ie3206kbq_ima.fits G141 1 3 58946.25894003 29.30027039721608 308.1167999957688 1
ie3206kcq_ima.fits G141 1 3 58946.26023632 31.166927997255698 309.98345759580843 0
ie3206kdq_ima.fits G141 1 3 58946.26153262 33.03360000369139 311.8501296022441 1
